2026-04-26 02:39:06.143 [INFO] ALoyoApp: ALOYO Application starting...
2026-04-26 02:39:06.143 [INFO] ALoyoApp: App version: 1.0.0
2026-04-26 02:39:06.143 [INFO] ALoyoApp: Device: OnePlus PKR110
2026-04-26 02:39:06.143 [INFO] ALoyoApp: Android: 15 (API 35)
2026-04-26 02:39:06.143 [INFO] ALoyoApp: ALOYO Application initialized
2026-04-26 02:39:06.229 [INFO] MainActivity: MainActivity created
2026-04-26 02:39:13.403 [INFO] MainActivity: Model imported successfully: wa
2026-04-26 02:39:21.878 [INFO] MainActivity: Model config updated: wa
2026-04-26 02:39:26.623 [INFO] MainActivity: Loading model: wa
2026-04-26 02:39:26.657 [INFO] MainActivity: Model loaded successfully: wa
2026-04-26 02:39:30.845 [INFO] MainActivity: Overlay permission granted
2026-04-26 02:39:35.085 [INFO] MainActivity: Capture and inference started
2026-04-26 02:39:35.085 [INFO] MainActivity: MediaProjection permission granted
2026-04-26 02:39:35.154 [INFO] MainActivity: CaptureService bound and callback set
2026-04-26 02:39:35.205 [INFO] MainActivity: Inference stats: 1 frames in 1777142375205ms (0.0 fps), detections=19, latency=17ms
2026-04-26 02:39:38.221 [INFO] MainActivity: Inference stats: 100 frames in 3016ms (33.2 fps), detections=19, latency=7ms
2026-04-26 02:39:41.236 [INFO] MainActivity: Inference stats: 99 frames in 3015ms (32.8 fps), detections=24, latency=11ms
2026-04-26 02:39:44.241 [INFO] MainActivity: Inference stats: 89 frames in 3005ms (29.6 fps), detections=9, latency=6ms
2026-04-26 02:39:47.256 [INFO] MainActivity: Inference stats: 117 frames in 3015ms (38.8 fps), detections=8, latency=5ms
2026-04-26 02:39:50.268 [INFO] MainActivity: Inference stats: 101 frames in 3012ms (33.5 fps), detections=7, latency=8ms
2026-04-26 02:39:53.301 [INFO] MainActivity: Inference stats: 79 frames in 3033ms (26.0 fps), detections=14, latency=7ms
2026-04-26 02:39:56.307 [INFO] MainActivity: Inference stats: 98 frames in 3006ms (32.6 fps), detections=10, latency=20ms
2026-04-26 02:39:59.352 [INFO] MainActivity: Inference stats: 97 frames in 3045ms (31.9 fps), detections=8, latency=20ms
2026-04-26 02:40:02.364 [INFO] MainActivity: Inference stats: 65 frames in 3012ms (21.6 fps), detections=11, latency=13ms
2026-04-26 02:40:05.371 [INFO] MainActivity: Inference stats: 59 frames in 3007ms (19.6 fps), detections=9, latency=13ms
